_id,active,age,club_member_status,fn,id,postal_code,_Product,Price,Sales_Channel,Transaction_Date,uuid
1000015,0.0,35,ACTIVE,0.0,a7042f3226fd2f0b2cd7ff27a7403e2fce8e1826c5d4fda5cf2baf358945e1f8,c1e16c0985dbe66c39ac56714f9a0a851fc252808e87e5baa4dc2f810e420e41,77370,0.016932203389830508,2,2019-09-09,90743d4f-08a3-4b6e-8248-844087a7133a
1000015,0.0,35,ACTIVE,0.0,a7042f3226fd2f0b2cd7ff27a7403e2fce8e1826c5d4fda5cf2baf358945e1f8,c1e16c0985dbe66c39ac56714f9a0a851fc252808e87e5baa4dc2f810e420e41,19290,0.02542372881355932,2,2019-09-09,6ce84218-5535-4930-a38f-c92591473585
1000015,0.0,35,ACTIVE,0.0,a7042f3226fd2f0b2cd7ff27a7403e2fce8e1826c5d4fda5cf2baf358945e1f8,c1e16c0985dbe66c39ac56714f9a0a851fc252808e87e5baa4dc2f810e420e41,7598,0.016932203389830508,2,2019-09-09,8ca4a035-2bf5-4e44-b6ff-58893cfa1972
1000015,0.0,35,ACTIVE,0.0,a7042f3226fd2f0b2cd7ff27a7403e2fce8e1826c5d4fda5cf2baf358945e1f8,c1e16c0985dbe66c39ac56714f9a0a851fc252808e87e5baa4dc2f810e420e41,68796,0.025406779661016947,2,2019-06-26,0df4b847-eb1c-46e9-be16-19a17ec60633
1000015,0.0,35,ACTIVE,0.0,a7042f3226fd2f0b2cd7ff27a7403e2fce8e1826c5d4fda5cf2baf358945e1f8,c1e16c0985dbe66c39ac56714f9a0a851fc252808e87e5baa4dc2f810e420e41,54040,0.042355932203389825,2,2019-06-26,162c683c-4cfc-4dc5-bb4a-a1b858e28c49
1000015,0.0,35,ACTIVE,0.0,a7042f3226fd2f0b2cd7ff27a7403e2fce8e1826c5d4fda5cf2baf358945e1f8,c1e16c0985dbe66c39ac56714f9a0a851fc252808e87e5baa4dc2f810e420e41,58362,0.025406779661016947,2,2019-06-26,3b65de46-617f-4cf8-842f-26836401ce36
1000067,0.0,33,ACTIVE,0.0,a6a54bc598187dc33d2a9448043556ed0f3bb4acc3592404de672f25ebd3bfef,6254cc39bda3dadd0846c1ca5c39c4e25d2e493e3a6a1d39011cb98d20b5091e,77633,0.05930508474576271,2,2019-04-26,27ad4212-2039-46b5-9780-a73a29253079
1000067,0.0,33,ACTIVE,0.0,a6a54bc598187dc33d2a9448043556ed0f3bb4acc3592404de672f25ebd3bfef,6254cc39bda3dadd0846c1ca5c39c4e25d2e493e3a6a1d39011cb98d20b5091e,39505,0.033881355932203386,2,2019-04-26,f41ecb64-632a-40aa-b8b0-f9f741f2ba7b
1000067,0.0,33,ACTIVE,0.0,a6a54bc598187dc33d2a9448043556ed0f3bb4acc3592404de672f25ebd3bfef,6254cc39bda3dadd0846c1ca5c39c4e25d2e493e3a6a1d39011cb98d20b5091e,54903,0.00676271186440678,2,2019-08-18,b38a80e3-b9d0-4593-93eb-fa843055cedc
1000067,0.0,33,ACTIVE,0.0,a6a54bc598187dc33d2a9448043556ed0f3bb4acc3592404de672f25ebd3bfef,6254cc39bda3dadd0846c1ca5c39c4e25d2e493e3a6a1d39011cb98d20b5091e,54484,0.025406779661016947,2,2019-08-18,5a125260-39c0-4b49-bbcf-e6b76c0ca239
